x,y
1.198978746,2.336090985
2.458838628,1.838723357
3.996830671,2.302984425
4.857881167,2.701067333
5.556662065,2.23190516
6.53810229,3.215329321
7.6713159,7.72940513
8.059969796,6.960989445
9.893035746,10.80877214
10.08630238,10.9209104
11.51093325,1.533040624
12.35729688,2.394398788
13.02461583,11.95235532
14.55641108,4.463878007
15.87479872,5.82279098
16.72384268,14.95989202
17.46764323,16.0725148
18.20558737,9.056664279
19.09118156,18.25069264
20.87324329,3.80146304
21.5762712,21.90614043
22.84334475,7.280719112
23.01682743,11.7215915
24.82428664,17.21231781
25.18261327,7.378020041
26.54872654,0.629833609
27.81237163,9.220625079
28.53397567,24.13648093
29.95031868,13.23523214
30.80746393,18.68772217
31.74276071,10.76499514
32.57547254,33.46084028
33.23880734,1.828198559
34.17766568,20.14861982
35.70786733,18.9284895
36.92117281,12.95880915
37.38794215,24.11211297
38.33994408,19.85558727
39.66830108,19.71225297
40.38728544,7.822576987
41.81467873,40.61070642
42.60383957,24.92861416
43.78860453,24.91340846
44.96197468,16.225718
45.417057,27.97157293
46.30624231,39.82462941
47.45690303,1.684479228
48.11062242,27.24224487
49.4758119,21.61161724
50.60134797,24.13000549
51.23114069,40.77932387
52.32304336,35.30292889
53.09619518,33.51284242
54.73604265,13.26127505
55.46584285,16.07057101
56.05512743,34.73278546
57.78224926,47.00844468
58.59503555,18.66153883
59.84285491,35.41469278
60.30178384,54.12733449
61.4269933,3.202806102
62.18384881,33.53238421
63.15610494,52.94605578
64.52173996,10.97263843
65.31115523,66.50986307
66.6756188,47.20330863
67.48706303,8.807920138
68.81800852,52.86871377
69.7067934,49.31357695
70.40265118,48.60513512
71.09207235,57.79427176
72.05543736,5.549169989
73.65854987,45.88445128
74.31477142,36.94162659
75.57794543,72.0753551
76.46267216,49.49455158
77.89933915,74.69378568
78.76962105,24.78901489
79.78608115,43.18072326
80.80603121,36.49346008
81.95694775,73.85747941
82.21555577,2.833538621
83.31829667,58.66517461
84.48004681,4.343194494
85.61826025,69.22434155
86.97187613,10.68869935
87.13411171,15.71761634
88.49869866,27.93877911
89.9444142,44.05284384
90.02896958,77.10586093
91.48572397,69.97185769
92.96792186,63.69645452
93.04221789,11.94916821
94.1015423,56.28725545
95.65092203,36.45620516
96.48859483,66.04882399
97.53127802,26.38946207
98.24708844,35.72365988
99.54253273,82.80400466
100.9885486,76.20355663
